MICE_ID_RAR_INDIVIDUAL,STRAIN,ID,RACK,LOCATION,ROOM,DATE_OF_BIRTH,SEX,DIET,AGE_OLD_WEEKS,WEEK_WITH_FAT_DIET,FOOD_WEIGHT_START_G,FOOD_WEIGHT_END_G,BODY_WEIGHT_G,DATE,COMMENTS,NEW_FOOD_END_SESSION_G,IN_SABLE,DIET_FORMULA,LOT_FOOD,ANIMAL_VENDOR,STRAIN_CODE_VENDOR,BASAL_GLU_mg_dL,FASTED_GLU_mg_dL,PROTOCOL_NUMBER_IACUC
B00002552315,C57BL/6J,2322,6A,J2,370-F,8/22/23,M,CHOW,,,,,59.95,1/9/25,INDIVIDUALLY_HOUSED_AND_ECHO_MRI,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2112A39694
B00002552314,C57BL/6J,2323,6A,I2,370-F,8/22/23,M,CHOW,,,,,41.02,1/9/25,INDIVIDUALLY_HOUSED_AND_ECHO_MRI,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2112A39694
B00002552313,C57BL/6J,2324,6A,H2,370-F,8/22/23,M,CHOW,,,,,46.66,1/9/25,INDIVIDUALLY_HOUSED_AND_ECHO_MRI,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2112A39694
B00002552312,C57BL/6J,2325,6A,M1,370-F,8/22/23,M,CHOW,,,,,50.28,1/9/25,INDIVIDUALLY_HOUSED_AND_ECHO_MRI,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2112A39694
B00002552311,C57BL/6J,2326,6A,L1,370-F,8/22/23,M,CHOW,,,,,46.33,1/9/25,INDIVIDUALLY_HOUSED_AND_ECHO_MRI,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2112A39694
B00002552310,C57BL/6J,2327,6A,K1,370-F,8/22/23,M,CHOW,,,,,40.12,1/9/25,INDIVIDUALLY_HOUSED_AND_ECHO_MRI,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2112A39694
B00002552309,C57BL/6J,2328,6A,J1,370-F,8/22/23,M,CHOW,,,,,39.8,1/9/25,INDIVIDUALLY_HOUSED_AND_ECHO_MRI,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2112A39694
B00002552308,C57BL/6J,2329,6A,I1,370-F,8/22/23,M,CHOW,,,,,35.06,1/9/25,INDIVIDUALLY_HOUSED_AND_ECHO_MRI,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2112A39694
B00002552307,C57BL/6J,2330,6A,H1,370-F,8/22/23,M,CHOW,,,,,39.24,1/9/25,INDIVIDUALLY_HOUSED_AND_ECHO_MRI,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2112A39694
B00002552330,C57BL/6J,2307,3A,H1,370-F,8/22/23,F,HFD,,,18.04,,26.38,1/22/25,,,,D12451i,24110413i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552325,C57BL/6J,2312,6A,I1,370-F,8/22/23,F,HFD,,,17.27,,32.52,1/22/25,,,,D12451i,24110413i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552324,C57BL/6J,2313,6A,J1,370-F,8/22/23,F,HFD,,,18.86,,38.05,1/22/25,,,,D12451i,24110413i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552323,C57BL/6J,2314,6A,K1,370-F,8/22/23,F,HFD,,,20.47,,33.51,1/22/25,,,,D12451i,24110413i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552321,C57BL/6J,2316,6A,L1,370-F,8/22/23,F,HFD,,,18.16,,39.35,1/22/25,,,,D12451i,24110413i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552320,C57BL/6J,2317,6A,M1,370-F,8/22/23,F,HFD,,,18.4,,27.03,1/22/25,,,,D12451i,24110413i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552318,C57BL/6J,2319,6A,H2,370-F,8/22/23,M,HFD,,,17.78,,41.3,1/22/25,,,,D12451i,24110413i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552317,C57BL/6J,2320,6A,I2,370-F,8/22/23,M,HFD,,,17.18,,33.18,1/22/25,,,,D12451i,24110413i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552316,C57BL/6J,2321,6A,J2,370-F,8/22/23,M,HFD,,,20.91,,56.33,1/22/25,,,,D12451i,24110413i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552315,C57BL/6J,2322,6A,K2,370-F,8/22/23,M,HFD,,,17.61,,58.39,1/22/25,,,,D12451i,24110413i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552309,C57BL/6J,2328,6A,L2,370-F,8/22/23,M,HFD,,,22.68,,26.97,1/22/25,,,,D12451i,24110413i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552307,C57BL/6J,2330,6A,M2,370-F,8/22/23,M,HFD,,,21.52,,38.42,1/22/25,,,,D12451i,24110413i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552329,C57BL/6J,2308,3A,N2,370-F,8/22/23,F,LFD,,,21.3,,29.71,1/22/25,,,,D12450Hi,24121201i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552328,C57BL/6J,2309,3A,H3,370-F,8/22/23,F,LFD,,,20.64,,30.24,1/22/25,,,,D12450Hi,24121201i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552327,C57BL/6J,2310,3A,I3,370-F,8/22/23,F,LFD,,,18.83,,34.82,1/22/25,,,,D12450Hi,24121201i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552326,C57BL/6J,2311,3A,J3,370-F,8/22/23,F,LFD,,,19.05,,38.74,1/22/25,,,,D12450Hi,24121201i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552322,C57BL/6J,2315,6A,K3,370-F,8/22/23,F,LFD,,,23,,37.93,1/22/25,,,,D12450Hi,24121201i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552319,C57BL/6J,2318,6A,L3,370-F,8/22/23,F,LFD,,,22.77,,29.3,1/22/25,,,,D12450Hi,24121201i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552314,C57BL/6J,2323,6A,M3,370-F,8/22/23,M,LFD,,,22.55,,39.6,1/22/25,,,,D12450Hi,24121201i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552313,C57BL/6J,2324,6A,N3,370-F,8/22/23,M,LFD,,,21.06,,44.14,1/22/25,,,,D12450Hi,24121201i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552312,C57BL/6J,2325,6A,H4,370-F,8/22/23,M,LFD,,,19.28,,47.63,1/22/25,,,,D12450Hi,24121201i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552311,C57BL/6J,2326,6A,I4,370-F,8/22/23,M,LFD,,,23.05,,40.62,1/22/25,,,,D12450Hi,24121201i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552310,C57BL/6J,2327,6A,J4,370-F,8/22/23,M,LFD,,,21.84,,28.22,1/22/25,,,,D12450Hi,24121201i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552308,C57BL/6J,2329,6A,K4,370-F,8/22/23,M,LFD,,,21.92,,35.71,1/22/25,,,,D12450Hi,24121201i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552330,C57BL/6J,2307,3A,H1,370-F,8/22/23,F,HFD,,0.3,18.04,10.39,,1/24/25,,17.75,,D12451i,24110413i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552325,C57BL/6J,2312,6A,I1,370-F,8/22/23,F,HFD,,0.3,17.27,9.64,,1/24/25,,18.12,,D12451i,24110413i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552324,C57BL/6J,2313,6A,J1,370-F,8/22/23,F,HFD,,0.3,18.86,12.56,,1/24/25,,15.13,,D12451i,24110413i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552323,C57BL/6J,2314,6A,K1,370-F,8/22/23,F,HFD,,0.3,20.47,10.75,,1/24/25,,17.57,,D12451i,24110413i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552321,C57BL/6J,2316,6A,L1,370-F,8/22/23,F,HFD,,0.3,18.16,11.38,,1/24/25,,17.1,,D12451i,24110413i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552320,C57BL/6J,2317,6A,M1,370-F,8/22/23,F,HFD,,0.3,18.4,11.95,,1/24/25,,17.58,,D12451i,24110413i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552318,C57BL/6J,2319,6A,H2,370-F,8/22/23,M,HFD,,0.3,17.78,10.48,,1/24/25,,17.72,,D12451i,24110413i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552317,C57BL/6J,2320,6A,I2,370-F,8/22/23,M,HFD,,0.3,17.18,8.83,,1/24/25,,14.17,,D12451i,24110413i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552316,C57BL/6J,2321,6A,J2,370-F,8/22/23,M,HFD,,0.3,20.91,10.97,,1/24/25,,21.35,,D12451i,24110413i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552315,C57BL/6J,2322,6A,K2,370-F,8/22/23,M,HFD,,0.3,17.61,8.34,,1/24/25,,18.91,,D12451i,24110413i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552309,C57BL/6J,2328,6A,L2,370-F,8/22/23,M,HFD,,0.3,22.68,13.27,,1/24/25,,21.97,,D12451i,24110413i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552307,C57BL/6J,2330,6A,M2,370-F,8/22/23,M,HFD,,0.3,21.52,12.02,,1/24/25,,21.55,,D12451i,24110413i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552329,C57BL/6J,2308,3A,N2,370-F,8/22/23,F,LFD,,0.3,21.3,17.94,,1/24/25,,16.57,,D12450Hi,24121201i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552328,C57BL/6J,2309,3A,H3,370-F,8/22/23,F,LFD,,0.3,20.64,18.82,,1/24/25,,15.19,,D12450Hi,24121201i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552327,C57BL/6J,2310,3A,I3,370-F,8/22/23,F,LFD,,0.3,18.83,18.36,,1/24/25,,15.64,,D12450Hi,24121201i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552326,C57BL/6J,2311,3A,J3,370-F,8/22/23,F,LFD,,0.3,19.05,18.71,,1/24/25,,16.09,,D12450Hi,24121201i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552322,C57BL/6J,2315,6A,K3,370-F,8/22/23,F,LFD,,0.3,23,21.29,,1/24/25,,16.37,,D12450Hi,24121201i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552319,C57BL/6J,2318,6A,L3,370-F,8/22/23,F,LFD,,0.3,22.77,21.48,,1/24/25,,15.99,,D12450Hi,24121201i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552314,C57BL/6J,2323,6A,M3,370-F,8/22/23,M,LFD,,0.3,22.55,22.13,,1/24/25,,13.77,,D12450Hi,24121201i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552313,C57BL/6J,2324,6A,N3,370-F,8/22/23,M,LFD,,0.3,21.06,20.79,,1/24/25,,14.54,,D12450Hi,24121201i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552312,C57BL/6J,2325,6A,H4,370-F,8/22/23,M,LFD,,0.3,19.28,19.06,,1/24/25,,15.65,,D12450Hi,24121201i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552311,C57BL/6J,2326,6A,I4,370-F,8/22/23,M,LFD,,0.3,23.05,20.07,,1/24/25,,14.07,,D12450Hi,24121201i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552310,C57BL/6J,2327,6A,J4,370-F,8/22/23,M,LFD,,0.3,21.84,19.38,,1/24/25,,14.42,,D12450Hi,24121201i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552308,C57BL/6J,2329,6A,K4,370-F,8/22/23,M,LFD,,0.3,21.92,21.86,,1/24/25,,15.83,,D12450Hi,24121201i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552330,C57BL/6J,2307,3A,H1,370-F,8/22/23,F,HFD,,0.5,17.75,9.44,,1/27/25,,17.92,,D12451i,24110413i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552325,C57BL/6J,2312,6A,I1,370-F,8/22/23,F,HFD,,0.5,18.12,7.64,,1/27/25,,21.83,,D12451i,24110413i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552324,C57BL/6J,2313,6A,J1,370-F,8/22/23,F,HFD,,0.5,15.13,9.21,,1/27/25,,18.78,,D12451i,24110413i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552323,C57BL/6J,2314,6A,K1,370-F,8/22/23,F,HFD,,0.5,17.57,7.25,,1/27/25,,18.4,,D12451i,24110413i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552321,C57BL/6J,2316,6A,L1,370-F,8/22/23,F,HFD,,0.5,17.1,10.37,,1/27/25,,17.51,,D12451i,24110413i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552320,C57BL/6J,2317,6A,M1,370-F,8/22/23,F,HFD,,0.5,17.58,9.06,,1/27/25,,17.95,,D12451i,24110413i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552318,C57BL/6J,2319,6A,H2,370-F,8/22/23,M,HFD,,0.5,17.72,9.15,,1/27/25,,20.9,,D12451i,24110413i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552317,C57BL/6J,2320,6A,I2,370-F,8/22/23,M,HFD,,0.5,14.17,4.26,,1/27/25,,20.39,,D12451i,24110413i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552316,C57BL/6J,2321,6A,J2,370-F,8/22/23,M,HFD,,0.5,21.35,9.93,,1/27/25,,22.45,,D12451i,24110413i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552315,C57BL/6J,2322,6A,K2,370-F,8/22/23,M,HFD,,0.5,18.91,8.35,,1/27/25,,21.51,,D12451i,24110413i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552309,C57BL/6J,2328,6A,L2,370-F,8/22/23,M,HFD,,0.5,21.97,9.66,,1/27/25,,23.3,,D12451i,24110413i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552307,C57BL/6J,2330,6A,M2,370-F,8/22/23,M,HFD,,0.5,21.55,10.87,,1/27/25,,21.51,,D12451i,24110413i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552329,C57BL/6J,2308,3A,N2,370-F,8/22/23,F,LFD,,0.5,16.57,5.67,,1/27/25,,22.95,,D12450Hi,24121201i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552328,C57BL/6J,2309,3A,H3,370-F,8/22/23,F,LFD,,0.5,15.19,8.18,,1/27/25,,16.41,,D12450Hi,24121201i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552327,C57BL/6J,2310,3A,I3,370-F,8/22/23,F,LFD,,0.5,15.64,11,,1/27/25,,15.57,,D12450Hi,24121201i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552326,C57BL/6J,2311,3A,J3,370-F,8/22/23,F,LFD,,0.5,16.09,12.36,,1/27/25,,21.11,,D12450Hi,24121201i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552322,C57BL/6J,2315,6A,K3,370-F,8/22/23,F,LFD,,0.5,16.37,12.25,,1/27/25,,17.31,,D12450Hi,24121201i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552319,C57BL/6J,2318,6A,L3,370-F,8/22/23,F,LFD,,0.5,15.99,9.17,,1/27/25,,21.86,,D12450Hi,24121201i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552314,C57BL/6J,2323,6A,M3,370-F,8/22/23,M,LFD,,0.5,13.77,11.03,,1/27/25,,16.68,,D12450Hi,24121201i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552313,C57BL/6J,2324,6A,N3,370-F,8/22/23,M,LFD,,0.5,14.54,12.49,,1/27/25,,17.8,,D12450Hi,24121201i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552312,C57BL/6J,2325,6A,H4,370-F,8/22/23,M,LFD,,0.5,15.65,15.04,,1/27/25,,20.03,,D12450Hi,24121201i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552311,C57BL/6J,2326,6A,I4,370-F,8/22/23,M,LFD,,0.5,14.07,5.34,,1/27/25,,19.11,,D12450Hi,24121201i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552310,C57BL/6J,2327,6A,J4,370-F,8/22/23,M,LFD,,0.5,14.42,4.22,,1/27/25,,20.77,,D12450Hi,24121201i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552308,C57BL/6J,2329,6A,K4,370-F,8/22/23,M,LFD,,0.5,15.83,7.79,,1/27/25,,18.49,,D12450Hi,24121201i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552330,C57BL/6J,2307,3A,H1,370-F,8/22/23,F,HFD,,1,17.92,13.28,27.02,1/29/25,,,,D12451i,24110413i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552325,C57BL/6J,2312,6A,I1,370-F,8/22/23,F,HFD,,1,21.83,14.32,33.87,1/29/25,,,,D12451i,24110413i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552324,C57BL/6J,2313,6A,J1,370-F,8/22/23,F,HFD,,1,18.78,13.62,36.1,1/29/25,,,,D12451i,24110413i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552323,C57BL/6J,2314,6A,K1,370-F,8/22/23,F,HFD,,1,18.4,12.97,34.4,1/29/25,,,,D12451i,24110413i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552321,C57BL/6J,2316,6A,L1,370-F,8/22/23,F,HFD,,1,17.51,11.78,37.17,1/29/25,,,,D12451i,24110413i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552320,C57BL/6J,2317,6A,M1,370-F,8/22/23,F,HFD,,1,17.95,12.73,27.3,1/29/25,,,,D12451i,24110413i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552318,C57BL/6J,2319,6A,H2,370-F,8/22/23,M,HFD,,1,20.9,14.54,40.78,1/29/25,,,,D12451i,24110413i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552317,C57BL/6J,2320,6A,I2,370-F,8/22/23,M,HFD,,1,20.39,13.4,35.16,1/29/25,,,,D12451i,24110413i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552316,C57BL/6J,2321,6A,J2,370-F,8/22/23,M,HFD,,1,22.45,13.9,57.24,1/29/25,,,,D12451i,24110413i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552315,C57BL/6J,2322,6A,K2,370-F,8/22/23,M,HFD,,1,21.51,14.18,58.81,1/29/25,,,,D12451i,24110413i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552309,C57BL/6J,2328,6A,L2,370-F,8/22/23,M,HFD,,1,23.3,15.8,39.57,1/29/25,,,,D12451i,24110413i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552307,C57BL/6J,2330,6A,M2,370-F,8/22/23,M,HFD,,1,21.51,16.57,40.9,1/29/25,,,,D12451i,24110413i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552329,C57BL/6J,2308,3A,N2,370-F,8/22/23,F,LFD,,1,22.95,16.66,27.7,1/29/25,,,,D12450Hi,24121201i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552328,C57BL/6J,2309,3A,H3,370-F,8/22/23,F,LFD,,1,16.41,17.63,27,1/29/25,,,,D12450Hi,24121201i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552327,C57BL/6J,2310,3A,I3,370-F,8/22/23,F,LFD,,1,15.57,16.9,30.48,1/29/25,,,,D12450Hi,24121201i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552326,C57BL/6J,2311,3A,J3,370-F,8/22/23,F,LFD,,1,21.11,15.14,32.14,1/29/25,,,,D12450Hi,24121201i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552322,C57BL/6J,2315,6A,K3,370-F,8/22/23,F,LFD,,1,17.31,12.98,31.31,1/29/25,,,,D12450Hi,24121201i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552319,C57BL/6J,2318,6A,L3,370-F,8/22/23,F,LFD,,1,21.86,15.45,25.41,1/29/25,,,,D12450Hi,24121201i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552314,C57BL/6J,2323,6A,M3,370-F,8/22/23,M,LFD,,1,16.68,17.62,34.19,1/29/25,,,,D12450Hi,24121201i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552313,C57BL/6J,2324,6A,N3,370-F,8/22/23,M,LFD,,1,17.8,14.4,35.81,1/29/25,,,,D12450Hi,24121201i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552312,C57BL/6J,2325,6A,H4,370-F,8/22/23,M,LFD,,1,20.03,18.18,37.04,1/29/25,,,,D12450Hi,24121201i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552311,C57BL/6J,2326,6A,I4,370-F,8/22/23,M,LFD,,1,19.11,12.71,37.32,1/29/25,,,,D12450Hi,24121201i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552310,C57BL/6J,2327,6A,J4,370-F,8/22/23,M,LFD,,1,20.77,13.1,30.45,1/29/25,,,,D12450Hi,24121201i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552308,C57BL/6J,2329,6A,K4,370-F,8/22/23,M,LFD,,1,18.49,19.41,32.55,1/29/25,,,,D12450Hi,24121201i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552330,C57BL/6J,2307,3A,H1,370-F,8/22/23,F,HFD,,1.3,13.28,7.23,,1/31/25,,11.48,,D12451i,24110413i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552325,C57BL/6J,2312,6A,I1,370-F,8/22/23,F,HFD,,1.3,14.32,8.58,,1/31/25,,14.88,,D12451i,24110413i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552324,C57BL/6J,2313,6A,J1,370-F,8/22/23,F,HFD,,1.3,13.62,8.14,,1/31/25,,13.82,,D12451i,24110413i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552323,C57BL/6J,2314,6A,K1,370-F,8/22/23,F,HFD,,1.3,12.97,7.39,,1/31/25,,14.54,,D12451i,24110413i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552321,C57BL/6J,2316,6A,L1,370-F,8/22/23,F,HFD,,1.3,11.78,7.75,,1/31/25,,15.15,,D12451i,24110413i,JACKSON_LABORATORIES,664,,,2112A39694
B00002552320,C57BL/6J,2317,6A,M1,370-F,8/22/23,F,HFD,,1.3,12.73,8.78,,1/31/25,,14.87,,D12451i,24110413i,JACKSON_LABORATORIES,664,,,2112A39694
