MICE_ID_RAR_INDIVIDUAL,ID,STRAIN,RACK,LOCATION,ROOM,DATE_OF_BIRTH,SEX,DIET,FOOD_WEIGHT_START_G,FOOD_WEIGHT_END_G,BODY_WEIGHT_G,DATE,COMMENTS,NEW_FOOD_END_SESSION_G,IN_SABLE_RECORDING,DIET_FORMULA,LOT_FOOD,ANIMAL_VENDOR,STRAIN_CODE_VENDOR,BASAL_GLU_mg_dL,FASTED_GLU_mg_dL,PROTOCOL_NUMBER_IACUC
,9456,CD-1,6A,,370-F,1/2/26,F,LFD,19.79,13.5,,1/26/26,,13.26,NO,D12450Hi,,,,,,2409-42370A
,9432,CD-1,6A,,370-F,12/31/25,F,HFD,12.65,5.12,22.81,1/28/26,,14.65,NO,D12451i,,,,,,2409-42370A
,9433,CD-1,6A,,370-F,12/31/25,F,HFD,14.6,6.33,23.05,1/28/26,,16.55,NO,D12451i,,,,,,2409-42370A
,9437,CD-1,6A,,370-F,12/31/25,M,HFD,12.37,3.39,28.38,1/28/26,,17.39,NO,D12451i,,,,,,2409-42370A
,9441,CD-1,6A,,370-F,12/31/25,M,HFD,14.29,4.11,29.87,1/28/26,,15.44,NO,D12451i,,,,,,2409-42370A
,9449,CD-1,6A,,370-F,12/31/25,F,HFD,12.77,5.46,20.09,1/28/26,,14.79,NO,D12451i,,,,,,2409-42370A
,9451,CD-1,6A,,370-F,12/31/25,M,HFD,15.03,7.86,25.25,1/28/26,,17.51,NO,D12451i,,,,,,2409-42370A
,9452,CD-1,6A,,370-F,12/31/25,M,HFD,13.61,6.3,26.74,1/28/26,,16.56,NO,D12451i,,,,,,2409-42370A
,9454,CD-1,6A,,370-F,1/2/26,M,HFD,15.17,6.67,28.76,1/28/26,,18,NO,D12451i,,,,,,2409-42370A
,9455,CD-1,6A,,370-F,1/2/26,F,HFD,14.11,6.41,25.3,1/28/26,,17.51,NO,D12451i,,,,,,2409-42370A
,9436,CD-1,6A,,370-F,12/31/25,F,LFD,14.98,5.56,21.96,1/28/26,,17.12,NO,D12450Hi,,,,,,2409-42370A
,9438,CD-1,6A,,370-F,12/31/25,M,LFD,13.25,4.82,19.32,1/28/26,,16.12,NO,D12450Hi,,,,,,2409-42370A
,9439,CD-1,6A,,370-F,12/31/25,M,LFD,12.26,2.14,24.2,1/28/26,,16.84,NO,D12450Hi,,,,,,2409-42370A
,9443,CD-1,6A,,370-F,12/31/25,F,LFD,14.93,5.43,23.93,1/28/26,,16.63,NO,D12450Hi,,,,,,2409-42370A
,9444,CD-1,6A,,370-F,12/31/25,F,LFD,14.88,6.97,19.84,1/28/26,,14.69,NO,D12450Hi,,,,,,2409-42370A
,9450,CD-1,6A,,370-F,12/31/25,M,LFD,15.28,6.86,21.4,1/28/26,,16.86,NO,D12450Hi,,,,,,2409-42370A
,9453,CD-1,6A,,370-F,12/31/25,M,LFD,14.58,5.13,25.39,1/28/26,,15.61,NO,D12450Hi,,,,,,2409-42370A
,9456,CD-1,6A,,370-F,1/2/26,F,LFD,13.26,6.35,20.31,1/28/26,,17.14,NO,D12450Hi,,,,,,2409-42370A
,9432,CD-1,6A,,370-F,12/31/25,F,HFD,14.65,8.11,,1/30/26,Abyan fed them,11.6,NO,D12451i,,,,,,2409-42370A
,9433,CD-1,6A,,370-F,12/31/25,F,HFD,16.55,7.33,,1/30/26,Abyan fed them,13.9,NO,D12451i,,,,,,2409-42370A
,9437,CD-1,6A,,370-F,12/31/25,M,HFD,17.39,7.55,,1/30/26,Abyan fed them,13.04,NO,D12451i,,,,,,2409-42370A
,9441,CD-1,6A,,370-F,12/31/25,M,HFD,15.44,5.75,,1/30/26,Abyan fed them,12.22,NO,D12451i,,,,,,2409-42370A
,9449,CD-1,6A,,370-F,12/31/25,F,HFD,14.79,8.34,,1/30/26,Abyan fed them,9.21,NO,D12451i,,,,,,2409-42370A
,9451,CD-1,6A,,370-F,12/31/25,M,HFD,17.51,9.45,,1/30/26,Abyan fed them,12.37,NO,D12451i,,,,,,2409-42370A
,9452,CD-1,6A,,370-F,12/31/25,M,HFD,16.56,9.05,,1/30/26,Abyan fed them,9.45,NO,D12451i,,,,,,2409-42370A
,9454,CD-1,6A,,370-F,1/2/26,M,HFD,18,8.51,,1/30/26,Abyan fed them,13.22,NO,D12451i,,,,,,2409-42370A
,9455,CD-1,6A,,370-F,1/2/26,F,HFD,17.51,8.92,,1/30/26,Abyan fed them,14.94,NO,D12451i,,,,,,2409-42370A
,9436,CD-1,6A,,370-F,12/31/25,F,LFD,17.12,9.37,,1/30/26,Abyan fed them,12.89,NO,D12450Hi,,,,,,2409-42370A
,9438,CD-1,6A,,370-F,12/31/25,M,LFD,16.12,9.33,,1/30/26,Abyan fed them,11.03,NO,D12450Hi,,,,,,2409-42370A
,9439,CD-1,6A,,370-F,12/31/25,M,LFD,16.84,6.99,,1/30/26,Abyan fed them,15.52,NO,D12450Hi,,,,,,2409-42370A
,9443,CD-1,6A,,370-F,12/31/25,F,LFD,16.63,9.06,,1/30/26,Abyan fed them,10.22,NO,D12450Hi,,,,,,2409-42370A
,9444,CD-1,6A,,370-F,12/31/25,F,LFD,14.69,7.43,,1/30/26,Abyan fed them,10.25,NO,D12450Hi,,,,,,2409-42370A
,9450,CD-1,6A,,370-F,12/31/25,M,LFD,16.86,10.17,,1/30/26,Abyan fed them,12.22,NO,D12450Hi,,,,,,2409-42370A
,9453,CD-1,6A,,370-F,12/31/25,M,LFD,15.61,7.04,,1/30/26,Abyan fed them,10.44,NO,D12450Hi,,,,,,2409-42370A
,9456,CD-1,6A,,370-F,1/2/26,F,LFD,17.14,9.51,,1/30/26,Abyan fed them,11.95,NO,D12450Hi,,,,,,2409-42370A
,9432,CD-1,6A,,370-F,12/31/25,F,HFD,11.6,0,,2/2/26,,15.27,NO,D12451i,,,,,,2409-42370A
,9433,CD-1,6A,,370-F,12/31/25,F,HFD,13.9,0.75,,2/2/26,,12.43,NO,D12451i,,,,,,2409-42370A
,9437,CD-1,6A,,370-F,12/31/25,M,HFD,13.04,0,,2/2/26,,15.96,NO,D12451i,,,,,,2409-42370A
,9441,CD-1,6A,,370-F,12/31/25,M,HFD,12.22,0,,2/2/26,,15.18,NO,D12451i,,,,,,2409-42370A
,9449,CD-1,6A,,370-F,12/31/25,F,HFD,9.21,0,,2/2/26,,16.63,NO,D12451i,,,,,,2409-42370A
,9451,CD-1,6A,,370-F,12/31/25,M,HFD,12.37,1.58,,2/2/26,,12.42,NO,D12451i,,,,,,2409-42370A
,9452,CD-1,6A,,370-F,12/31/25,M,HFD,9.45,0,,2/2/26,,17.21,NO,D12451i,,,,,,2409-42370A
,9454,CD-1,6A,,370-F,1/2/26,M,HFD,13.22,0,,2/2/26,,18.19,NO,D12451i,,,,,,2409-42370A
,9455,CD-1,6A,,370-F,1/2/26,F,HFD,14.94,2.5,,2/2/26,,14.41,NO,D12451i,,,,,,2409-42370A
,9436,CD-1,6A,,370-F,12/31/25,F,LFD,12.89,0,,2/2/26,,17.95,NO,D12450Hi,,,,,,2409-42370A
,9438,CD-1,6A,,370-F,12/31/25,M,LFD,11.03,0,,2/2/26,,18.62,NO,D12450Hi,,,,,,2409-42370A
,9439,CD-1,6A,,370-F,12/31/25,M,LFD,15.52,2.32,,2/2/26,,18.1,NO,D12450Hi,,,,,,2409-42370A
,9443,CD-1,6A,,370-F,12/31/25,F,LFD,10.22,0,,2/2/26,,16.96,NO,D12450Hi,,,,,,2409-42370A
,9444,CD-1,6A,,370-F,12/31/25,F,LFD,10.25,0,,2/2/26,,18.35,NO,D12450Hi,,,,,,2409-42370A
,9450,CD-1,6A,,370-F,12/31/25,M,LFD,12.22,1.85,,2/2/26,,14.25,NO,D12450Hi,,,,,,2409-42370A
,9453,CD-1,6A,,370-F,12/31/25,M,LFD,10.44,0,,2/2/26,,16.35,NO,D12450Hi,,,,,,2409-42370A
,9456,CD-1,6A,,370-F,1/2/26,F,LFD,11.95,1.96,,2/2/26,,16.45,NO,D12450Hi,,,,,,2409-42370A
,9432,CD-1,6A,,370-F,12/31/25,F,HFD,15.27,6.35,26.7,2/4/26,,13.42,NO,D12451i,,,,,,2409-42370A
,9433,CD-1,6A,,370-F,12/31/25,F,HFD,12.43,4.39,28.88,2/4/26,,11.73,NO,D12451i,,,,,,2409-42370A
,9437,CD-1,6A,,370-F,12/31/25,M,HFD,15.96,4.53,36.03,2/4/26,,13.41,NO,D12451i,,,,,,2409-42370A
,9441,CD-1,6A,,370-F,12/31/25,M,HFD,15.18,4.11,36.52,2/4/26,,16.15,NO,D12451i,,,,,,2409-42370A
,9449,CD-1,6A,,370-F,12/31/25,F,HFD,16.63,11.5,22.68,2/4/26,,11.28,NO,D12451i,,,,,,2409-42370A
,9451,CD-1,6A,,370-F,12/31/25,M,HFD,12.42,5.96,29.76,2/4/26,,10.81,NO,D12451i,,,,,,2409-42370A
,9452,CD-1,6A,,370-F,12/31/25,M,HFD,17.21,7.78,30.35,2/4/26,,14.95,NO,D12451i,,,,,,2409-42370A
,9454,CD-1,6A,,370-F,1/2/26,M,HFD,18.19,8.33,38.05,2/4/26,,12.88,NO,D12451i,,,,,,2409-42370A
,9455,CD-1,6A,,370-F,1/2/26,F,HFD,14.41,6.94,32.04,2/4/26,,10.15,NO,D12451i,,,,,,2409-42370A
,9436,CD-1,6A,,370-F,12/31/25,F,LFD,17.95,8.18,27.22,2/4/26,,13.05,NO,D12450Hi,,,,,,2409-42370A
,9438,CD-1,6A,,370-F,12/31/25,M,LFD,18.62,9.53,24.83,2/4/26,,13.1,NO,D12450Hi,,,,,,2409-42370A
,9439,CD-1,6A,,370-F,12/31/25,M,LFD,18.1,8.45,30.9,2/4/26,,13.67,NO,D12450Hi,,,,,,2409-42370A
,9443,CD-1,6A,,370-F,12/31/25,F,LFD,16.96,7.17,27.32,2/4/26,,12.42,NO,D12450Hi,,,,,,2409-42370A
,9444,CD-1,6A,,370-F,12/31/25,F,LFD,18.35,9.48,23.93,2/4/26,,12.29,NO,D12450Hi,,,,,,2409-42370A
,9450,CD-1,6A,,370-F,12/31/25,M,LFD,14.25,8.83,24.03,2/4/26,,9.9,NO,D12450Hi,,,,,,2409-42370A
,9453,CD-1,6A,,370-F,12/31/25,M,LFD,16.35,7.36,27.78,2/4/26,,14,NO,D12450Hi,,,,,,2409-42370A
,9456,CD-1,6A,,370-F,1/2/26,F,LFD,16.45,9.1,25.31,2/4/26,,11.3,NO,D12450Hi,,,,,,2409-42370A
,9432,CD-1,6A,,370-F,12/31/25,F,HFD,13.42,6.56,,2/6/26,,15.89,NO,D12451i,,,,,,2409-42370A
,9433,CD-1,6A,,370-F,12/31/25,F,HFD,11.73,3.97,,2/6/26,,16.83,NO,D12451i,,,,,,2409-42370A
,9437,CD-1,6A,,370-F,12/31/25,M,HFD,13.41,4.08,,2/6/26,,16.59,NO,D12451i,,,,,,2409-42370A
,9441,CD-1,6A,,370-F,12/31/25,M,HFD,16.15,8.16,,2/6/26,,17.62,NO,D12451i,,,,,,2409-42370A
,9449,CD-1,6A,,370-F,12/31/25,F,HFD,11.28,6.12,,2/6/26,,11.63,NO,D12451i,,,,,,2409-42370A
,9451,CD-1,6A,,370-F,12/31/25,M,HFD,10.81,4.65,,2/6/26,,14.06,NO,D12451i,,,,,,2409-42370A
,9452,CD-1,6A,,370-F,12/31/25,M,HFD,14.95,8.48,,2/6/26,,14.97,NO,D12451i,,,,,,2409-42370A
,9454,CD-1,6A,,370-F,1/2/26,M,HFD,12.88,4.62,,2/6/26,,13.93,NO,D12451i,,,,,,2409-42370A
,9455,CD-1,6A,,370-F,1/2/26,F,HFD,10.15,1.86,,2/6/26,,20.81,NO,D12451i,,,,,,2409-42370A
,9436,CD-1,6A,,370-F,12/31/25,F,LFD,13.05,6.89,,2/6/26,,15.13,NO,D12450Hi,,,,,,2409-42370A
,9438,CD-1,6A,,370-F,12/31/25,M,LFD,13.1,4.29,,2/6/26,,21.65,NO,D12450Hi,,,,,,2409-42370A
,9439,CD-1,6A,,370-F,12/31/25,M,LFD,13.67,6.09,,2/6/26,,15.43,NO,D12450Hi,,,,,,2409-42370A
,9443,CD-1,6A,,370-F,12/31/25,F,LFD,12.42,4.81,,2/6/26,,15.78,NO,D12450Hi,,,,,,2409-42370A
,9444,CD-1,6A,,370-F,12/31/25,F,LFD,12.29,6.39,,2/6/26,,12.57,NO,D12450Hi,,,,,,2409-42370A
,9450,CD-1,6A,,370-F,12/31/25,M,LFD,9.9,4.36,,2/6/26,,11.19,NO,D12450Hi,,,,,,2409-42370A
,9453,CD-1,6A,,370-F,12/31/25,M,LFD,14,6.91,,2/6/26,,16.4,NO,D12450Hi,,,,,,2409-42370A
,9456,CD-1,6A,,370-F,1/2/26,F,LFD,11.3,4.93,,2/6/26,,15.63,NO,D12450Hi,,,,,,2409-42370A
,9432,CD-1,6A,,370-F,12/31/25,F,HFD,15.89,,,2/9/26,"Mice did not get fed on 2/9, staff misread calendar",,NO,D12451i,,,,,,2409-42370A
,9433,CD-1,6A,,370-F,12/31/25,F,HFD,16.83,,,2/9/26,"Mice did not get fed on 2/9, staff misread calendar",,NO,D12451i,,,,,,2409-42370A
,9437,CD-1,6A,,370-F,12/31/25,M,HFD,16.59,,,2/9/26,"Mice did not get fed on 2/9, staff misread calendar",,NO,D12451i,,,,,,2409-42370A
,9441,CD-1,6A,,370-F,12/31/25,M,HFD,17.62,,,2/9/26,"Mice did not get fed on 2/9, staff misread calendar",,NO,D12451i,,,,,,2409-42370A
,9449,CD-1,6A,,370-F,12/31/25,F,HFD,11.63,,,2/9/26,"Mice did not get fed on 2/9, staff misread calendar",,NO,D12451i,,,,,,2409-42370A
,9451,CD-1,6A,,370-F,12/31/25,M,HFD,14.06,,,2/9/26,"Mice did not get fed on 2/9, staff misread calendar",,NO,D12451i,,,,,,2409-42370A
,9452,CD-1,6A,,370-F,12/31/25,M,HFD,14.97,,,2/9/26,"Mice did not get fed on 2/9, staff misread calendar",,NO,D12451i,,,,,,2409-42370A
,9454,CD-1,6A,,370-F,1/2/26,M,HFD,13.93,,,2/9/26,"Mice did not get fed on 2/9, staff misread calendar",,NO,D12451i,,,,,,2409-42370A
,9455,CD-1,6A,,370-F,1/2/26,F,HFD,20.81,,,2/9/26,"Mice did not get fed on 2/9, staff misread calendar",,NO,D12451i,,,,,,2409-42370A
,9436,CD-1,6A,,370-F,12/31/25,F,LFD,15.13,,,2/9/26,"Mice did not get fed on 2/9, staff misread calendar",,NO,D12450Hi,,,,,,2409-42370A
,9438,CD-1,6A,,370-F,12/31/25,M,LFD,21.65,,,2/9/26,"Mice did not get fed on 2/9, staff misread calendar",,NO,D12450Hi,,,,,,2409-42370A
,9439,CD-1,6A,,370-F,12/31/25,M,LFD,15.43,,,2/9/26,"Mice did not get fed on 2/9, staff misread calendar",,NO,D12450Hi,,,,,,2409-42370A
,9443,CD-1,6A,,370-F,12/31/25,F,LFD,15.78,,,2/9/26,"Mice did not get fed on 2/9, staff misread calendar",,NO,D12450Hi,,,,,,2409-42370A
,9444,CD-1,6A,,370-F,12/31/25,F,LFD,12.57,,,2/9/26,"Mice did not get fed on 2/9, staff misread calendar",,NO,D12450Hi,,,,,,2409-42370A
,9450,CD-1,6A,,370-F,12/31/25,M,LFD,11.19,,,2/9/26,"Mice did not get fed on 2/9, staff misread calendar",,NO,D12450Hi,,,,,,2409-42370A
,9453,CD-1,6A,,370-F,12/31/25,M,LFD,16.4,,,2/9/26,"Mice did not get fed on 2/9, staff misread calendar",,NO,D12450Hi,,,,,,2409-42370A
,9456,CD-1,6A,,370-F,1/2/26,F,LFD,15.63,,,2/9/26,"Mice did not get fed on 2/9, staff misread calendar",,NO,D12450Hi,,,,,,2409-42370A
,9432,CD-1,6A,,370-F,12/31/25,F,HFD,15.89,0,,2/11/26,"Mice did not get fed on 2/9, staff misread calendar",17.1,NO,D12451i,,,,,,2409-42370A
,9433,CD-1,6A,,370-F,12/31/25,F,HFD,16.83,0,,2/11/26,"Mice did not get fed on 2/9, staff misread calendar",16.93,NO,D12451i,,,,,,2409-42370A
,9437,CD-1,6A,,370-F,12/31/25,M,HFD,16.59,0,,2/11/26,"Mice did not get fed on 2/9, staff misread calendar",16.95,NO,D12451i,,,,,,2409-42370A
,9441,CD-1,6A,,370-F,12/31/25,M,HFD,17.62,0,,2/11/26,"Mice did not get fed on 2/9, staff misread calendar",19.41,NO,D12451i,,,,,,2409-42370A
,9449,CD-1,6A,,370-F,12/31/25,F,HFD,11.63,0,,2/11/26,"Mice did not get fed on 2/9, staff misread calendar",13.74,NO,D12451i,,,,,,2409-42370A
,9451,CD-1,6A,,370-F,12/31/25,M,HFD,14.06,0,,2/11/26,"Mice did not get fed on 2/9, staff misread calendar",15.55,NO,D12451i,,,,,,2409-42370A
,9452,CD-1,6A,,370-F,12/31/25,M,HFD,14.97,0,,2/11/26,"Mice did not get fed on 2/9, staff misread calendar",17.38,NO,D12451i,,,,,,2409-42370A
,9454,CD-1,6A,,370-F,1/2/26,M,HFD,13.93,0,,2/11/26,"Mice did not get fed on 2/9, staff misread calendar",14.32,NO,D12451i,,,,,,2409-42370A
,9455,CD-1,6A,,370-F,1/2/26,F,HFD,20.81,2.32,,2/11/26,"Mice did not get fed on 2/9, staff misread calendar",22.57,NO,D12451i,,,,,,2409-42370A
,9436,CD-1,6A,,370-F,12/31/25,F,LFD,15.13,0,,2/11/26,"Mice did not get fed on 2/9, staff misread calendar",16.42,NO,D12450Hi,,,,,,2409-42370A
,9438,CD-1,6A,,370-F,12/31/25,M,LFD,21.65,1.68,,2/11/26,"Mice did not get fed on 2/9, staff misread calendar",21.91,NO,D12450Hi,,,,,,2409-42370A
,9439,CD-1,6A,,370-F,12/31/25,M,LFD,15.43,0,,2/11/26,"Mice did not get fed on 2/9, staff misread calendar",16.61,NO,D12450Hi,,,,,,2409-42370A
,9443,CD-1,6A,,370-F,12/31/25,F,LFD,15.78,0,,2/11/26,"Mice did not get fed on 2/9, staff misread calendar",17.11,NO,D12450Hi,,,,,,2409-42370A
,9444,CD-1,6A,,370-F,12/31/25,F,LFD,12.57,0,,2/11/26,"Mice did not get fed on 2/9, staff misread calendar",12.65,NO,D12450Hi,,,,,,2409-42370A
,9450,CD-1,6A,,370-F,12/31/25,M,LFD,11.19,0,,2/11/26,"Mice did not get fed on 2/9, staff misread calendar",12.99,NO,D12450Hi,,,,,,2409-42370A
,9453,CD-1,6A,,370-F,12/31/25,M,LFD,16.4,0,,2/11/26,"Mice did not get fed on 2/9, staff misread calendar",16.9,NO,D12450Hi,,,,,,2409-42370A
,9456,CD-1,6A,,370-F,1/2/26,F,LFD,15.63,0,,2/11/26,"Mice did not get fed on 2/9, staff misread calendar",16.6,NO,D12450Hi,,,,,,2409-42370A
,9432,CD-1,6A,,370-F,12/31/25,F,HFD,17.1,9.62,,2/13/26,,19.03,NO,D12451i,,,,,,2409-42370A
,9433,CD-1,6A,,370-F,12/31/25,F,HFD,16.93,8.53,,2/13/26,,18.16,NO,D12451i,,,,,,2409-42370A
,9437,CD-1,6A,,370-F,12/31/25,M,HFD,16.95,6.02,,2/13/26,,17.77,NO,D12451i,,,,,,2409-42370A
,9441,CD-1,6A,,370-F,12/31/25,M,HFD,19.41,8.57,,2/13/26,,18.2,NO,D12451i,,,,,,2409-42370A
,9449,CD-1,6A,,370-F,12/31/25,F,HFD,13.74,7.23,,2/13/26,,17.97,NO,D12451i,,,,,,2409-42370A
,9451,CD-1,6A,,370-F,12/31/25,M,HFD,15.55,7.2,,2/13/26,,19.86,NO,D12451i,,,,,,2409-42370A
,9452,CD-1,6A,,370-F,12/31/25,M,HFD,17.38,7.6,,2/13/26,,21.92,NO,D12451i,,,,,,2409-42370A
,9454,CD-1,6A,,370-F,1/2/26,M,HFD,14.32,2.8,,2/13/26,,20.68,NO,D12451i,,,,,,2409-42370A
,9455,CD-1,6A,,370-F,1/2/26,F,HFD,22.57,16.59,,2/13/26,,23.69,NO,D12451i,,,,,,2409-42370A
,9436,CD-1,6A,,370-F,12/31/25,F,LFD,16.42,4.39,,2/13/26,,19.16,NO,D12450Hi,,,,,,2409-42370A
,9438,CD-1,6A,,370-F,12/31/25,M,LFD,21.91,13.66,,2/13/26,,18.85,NO,D12450Hi,,,,,,2409-42370A
,9439,CD-1,6A,,370-F,12/31/25,M,LFD,16.61,6.73,,2/13/26,,19.08,NO,D12450Hi,,,,,,2409-42370A
,9443,CD-1,6A,,370-F,12/31/25,F,LFD,17.11,7.83,,2/13/26,,19.51,NO,D12450Hi,,,,,,2409-42370A
,9444,CD-1,6A,,370-F,12/31/25,F,LFD,12.65,3.55,,2/13/26,,24.75,NO,D12450Hi,,,,,,2409-42370A
,9450,CD-1,6A,,370-F,12/31/25,M,LFD,12.99,3.18,,2/13/26,,31.55,NO,D12450Hi,,,,,,2409-42370A
,9453,CD-1,6A,,370-F,12/31/25,M,LFD,16.9,9.77,,2/13/26,,17.18,NO,D12450Hi,,,,,,2409-42370A
,9456,CD-1,6A,,370-F,1/2/26,F,LFD,16.6,7.19,,2/13/26,,20.41,NO,D12450Hi,,,,,,2409-42370A
,9432,CD-1,6A,,370-F,12/31/25,F,HFD,19.03,9.1,,2/16/26,,15.53,NO,D12451i,,,,,,2409-42370A
,9433,CD-1,6A,,370-F,12/31/25,F,HFD,18.16,8.31,,2/16/26,,12.7,NO,D12451i,,,,,,2409-42370A
,9437,CD-1,6A,,370-F,12/31/25,M,HFD,17.77,3.46,,2/16/26,,19.27,NO,D12451i,,,,,,2409-42370A
,9441,CD-1,6A,,370-F,12/31/25,M,HFD,18.2,4.44,,2/16/26,,17.26,NO,D12451i,,,,,,2409-42370A
,9449,CD-1,6A,,370-F,12/31/25,F,HFD,17.97,11.83,,2/16/26,,14.81,NO,D12451i,,,,,,2409-42370A
,9451,CD-1,6A,,370-F,12/31/25,M,HFD,19.86,11.27,,2/16/26,,17.33,NO,D12451i,,,,,,2409-42370A
,9452,CD-1,6A,,370-F,12/31/25,M,HFD,21.92,12.4,,2/16/26,,12.24,NO,D12451i,,,,,,2409-42370A
,9454,CD-1,6A,,370-F,1/2/26,M,HFD,20.68,7.62,,2/16/26,,17.17,NO,D12451i,,,,,,2409-42370A
,9455,CD-1,6A,,370-F,1/2/26,F,HFD,23.69,13.77,,2/16/26,,17.46,NO,D12451i,,,,,,2409-42370A
,9436,CD-1,6A,,370-F,12/31/25,F,LFD,19.16,6.52,,2/16/26,,19.53,NO,D12450Hi,,,,,,2409-42370A
